Id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Birth registration funder age 5 2005-2013,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Change mobile usage 2009 2014,Consumer price index 2013,Domestic credit provided by financial sector 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Expected years of schooling - Years,Exports and imports percentage GPD 2013,Female Suicide Rate 100k people,Foreign direct investment net inflows percentage GDP 2013,Forest area percentage of total land area 2012,Fossil fuels percentage of total 2012,Fresh water withdrawals 2005,Gender Inequality Index 2014,General government final consumption expenditure - Annual growth 2005 2013,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross fixed capital formation of GDP 2005-2013,Gross national income GNI per capita - 2011  Dollars,Homeless people due to natural disaster 2005 2014 per million people,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,International student mobility of total tetiary enrolvemnt 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,MaleSuicide Rate 100k people,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Mobile phone subscriptions per 100 people 2014,Natural resource depletion,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population affected by natural desasters average annual per million people 2005-2014,Population living on degraded land Percentage 2010,Population with at least some secondary education percent 2005-2013,Pre-primary 2008-2014,Primary-2008-2014,Primary school dropout rate 2008-2014,Prison population per 100k people,Private capital flows percentage GDP 2013,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Refugees by country of origin,Remittances inflows percentual GDP 2013,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Secondary 2008-2014,Share of seats in parliament percentage held by womand 2014,Stock of immigrants percentage of population 2013,Taxes on income profit and capital gain 205 2013,Tertiary -2008-2014,Total tax revenue of GDP 2005-2013,Tuberculosis rate per thousands 2012,Under-five Mortality 2013 thousands
United Kingdom,0.906698192,38.04,25.758,100,-1.613521067,7.085732086,10.8923784,-0.3,110.1768945,184.0914825,1.19,5,100,16.18306,61.55657,2.6,1.803818,11.96792461,85.08723106,8.84,0.177352897,0.738208387,20.24009778,2372.688781,37017.10898,16.4313705,39267.19081,48.47947191,1,3.9,31200,16.31532,91.61,28.4,80.7,9.8,8,13.0544459,123.58,0.86791171,2.9,27.9,665.3209606,2.694623264,99.85564,84.24965,108.52618,1.561603333,147,-3.880322,6.033299923,9.117729,18.30825,0.147,0.0639142,14.37432102,1.72108,95.41636,23.5253296,12.39245147,31.8236716,61.88096,25.29322502,0.54,4.6
Iceland,0.899412127,26.3,11.488,100,-0.457757463,5.896828979,264.3678174,2.61,113.6425471,130.8826749,1.77,5.4,100,18.97689,103.1194,6.7,3.057418,0.316209476,15.27250818,0.1,0.086934519,0.833401726,24.33165173,13.32367403,41249.50938,15.0959443,35182.11477,0,0.3,1.6,800,-8.19415,98.16,42,82.6,21,4,10.59,111.08,0.001124076,3.3,34.76,0,5.428434008,91.29722314,97.03231,98.11037,2.08263,47,8.462746,7.359960079,9.058935,9.92804,0.002,1.145927,84.72752504,2.60487,111.99045,41.2698413,10.43197232,27.42886228,81.35543,22.25784913,0.27,2.1
South Korea,0.898334135,31.01333333,2.242,100,6.526072967,11.84075687,-3.421703721,16.08,107.67,155.9288455,1.85,9.1,100,16.87441,102.7863,18,0.9367723,63.77812019,82.80768545,12.27,0.124723753,2.702333911,14.92681447,1642.59033,32708.10745,29.6564918,33890.45203,9.194563011,0.9,3.2,12200,-1.71213,84.33,30.3,81.9,41.7,27,11.89,115.54,0.013174051,1.2,21.43,206.4966318,2.879727972,82.89788,117.73773,102.73686,0.80889,99,1.934659,4.86413002,7.172796,17.8745,0.544,0.4924902,17.15811066,4.03919,97.19713,16.3333333,2.501324633,30.32686893,98.37919,14.4356558,5.4,3.7
Israel,0.894272981,42.78,7.819,100,1.539877449,8.952413531,16.36363636,-2.08,106.8314903,81.38630281,2.2,5.9,100,15.95261,64.47582,2.3,4.0627,7.097966728,96.69218639,6.04,0.100935552,3.505246814,22.49005822,249.2549403,30926.84909,19.4684437,30675.51109,0,1.8,3.2,2962,-2.61299,71.45,43.7,82.4,9.8,2,12.54470158,121.45,0.230061181,-2,33.46,27775.41437,12.85759676,85.75881,101.38874,105.64164,1.05974,223,0.1812418,5.637189865,7.237709,12.50256,1.043,0.2632244,4.815703541,3.926270008,101.357,22.5,26.46883337,27.92069595,67.89183,22.12731237,0.23,4
Luxembourg,0.891851627,29.00333333,8.349,100,-2.114326209,20.8978117,2.963996994,2.65,108.0057702,163.9415211,1.27,8.9,100,13.88,371.4397,4.4,50.01655,33.49420849,87.35561187,12.31333333,0.099852289,4.991851788,17.28136089,47.65914024,87737.41672,17.0585651,58711.39454,0,0.8,1.6,945,-85.91619,94.67,39.46666667,81.7,13,11,11.71397591,148.37,0.04867392,9.7,28.24,0,2.225021549,100,91.7012,96.51007,5.595456667,122,-168.8638,5.285459916,7.096672,8.37204,0.001,3.024067,3.980732398,1.44066,100.04749,28.3333333,43.25370489,30.04580977,19.74303,25.53081708,0.42,2
Japan,0.890593213,32.11,5.412,100,0.751121838,9.291834303,0.197766176,31.66,100.0416667,366.5330334,1.89,5.6,100,15.32633,35.14246,10.1,0.0755157,68.56649111,94.78853059,12.31333333,0.132589731,1.912359665,20.5723682,4535.077113,35614.30992,21.7272269,36926.91669,32.12480611,0.3,2.1,10400,3.01704,90.58,18.5,83.5,26.9,6,11.52,120.23,0.016286005,0.6,22.97,920.775113,0.293459213,86.44626,87.86513,102.30144,0.16174,51,-2.663063,3.849699974,10.29905,17.0901,0.296,0.0480501,5.211469635,3.38807,101.80941,11.5760112,1.916863641,45.95831243,61.45932,10.08687665,1.7,2.9
Belgium,0.890262992,33.14,6.709,100,-1.235474144,8.849398302,2.072259342,5.41,107.6561463,111.2340394,1.68,6,100,16.33158,164.1816,7.7,-0.6228033,22.45310436,70.09410307,33.95,0.063306857,1.082642852,24.41504005,454.6038686,40607.25903,22.2750423,41187,0,1.6,3.5,7684,6.63517,85,28.9,80.8,21,6,11.27326393,114.27,0.02580432,2.7,29.93,8.95405972,10.45827054,80.10136,118.35407,103.35533,13.48664,108,-10.00392,6.548860073,11.18614,11.20289,0.077,2.120064,28.26372474,2.23621,107.26161,42.3809524,10.44444601,35.213436,70.82755,24.85708465,0.36,4.4
France,0.888107437,31.69,5.736,100,-1.566449324,5.185410609,10.40893278,8.97,105.0137245,130.7539858,1.7,4.8,100,16.00167,58.04824,6,0.2309128,29.3118027,49.1095992,14.79,0.08838641,1.953636899,24.12495322,2453.251048,37154.44504,22.090546,38056.35627,0.951438376,1,3.5,84700,6.6414,83.75,30.53333333,82.2,19.3,12,11.13314915,100.36,0.014879949,2,31.8,819.4849733,3.89500861,80.47476,109.7546,107.32342,2.425216667,98,-3.59425,5.67538023,11.66171,17.81514,0.098,0.8315349,52.41154415,2.26264,109.70929,25.7297297,11.57090977,24.63749388,58.3049,21.38624496,0.46,4.2
Austria,0.88502726,30.04,4.126,100,0.43641002,7.769983423,3.255795278,11.23,107.9506626,127.8855996,1.43,5.9,100,15.74653,103.3815,5.4,3.644082,47.28852431,67.07715227,18.8,0.05284976,0.672028333,19.82821038,376.0309686,44375.79243,22.1831756,43869.2871,0,0.9,3.2,24800,13.06128,81,29.13333333,81.4,18.2,4,10.83443082,151.91,0.180038016,3.5,48.3,19.26983633,2.746283105,100.00001,103.38368,101.20785,0.26172,98,-0.0428849,5.795760155,11.03413,10.82489,0.009,0.6561084,32.17653329,2.83639,97.69036,30.3278689,15.70081499,23.719648,72.43606,18.26718464,0.42,3.9
Finland,0.882727787,27.79,9.211,100,0.477135982,10.1640461,1.45752605,-3.07,107.8903288,104.864881,1.6,6.2,100,17.06943,77.32056,7.5,-1.981359,72.91125078,43.03976228,1.49,0.074720064,1.475300395,24.94126879,211.2973284,38845.65513,21.1814782,38694.76981,0,1.6,2.1,4226,4.40052,92.38,43.5,80.8,22.2,4,10.286,139.66,0.158079526,1.8,29.05,7.476113863,0.045135256,100,70.47258,100.14015,0.44827,58,0.7489355,6.761050224,9.399151,13.55949,0.007,0.3986714,47.50230415,3.54823,107.67558,42.5,5.402682443,14.79069522,93.72182,20.00110514,0.29,2.6
Slovenia,0.88028084,24.87,0.617,100,-0.32720268,7.504259702,5.808080803,9.08,106.2947129,82.77713947,2.21,9.4,100,16.80578,143.3718,4.4,-0.8724494,62.41310824,66.58565479,2.96,0.016422272,-1.123990177,20.35019907,56.81950556,27575.80528,19.7174089,27852.1462,51.37552086,0.7,2.3,2259,-0.1351,71.59,41.16666667,80.4,20.8,7,11.89249992,112.08,0.313193887,2.1,25.16,3114.335145,8.357202003,96.86898,94.05564,98.92975,1.17471,66,-9.581476,5.680540085,9.159823,16.78039,0.118,1.429537,34.51116942,2.79952,97.56567,27.6923077,11.25933097,10.41415681,86.0247,17.54166544,0.97,2.9
Spain,0.876124307,35.75,10.624,100,1.677077353,5.790764234,34.23471211,-3.34,107.2095415,205.0791999,2.01,8.4,100,17.34512,59.70266,2.2,3.224387,37.13977546,75.88553837,28.57,0.095356027,-2.932406746,19.46451566,1473.889627,31596.37973,18.52016,32044.86286,32.85642546,0.8,3.6,60700,1.40742,76.19,30.53333333,82.6,8.2,4,9.58190918,107.85,0.036363249,2.6,36.95,51.26040457,1.442600197,69.84413,127.35364,102.91455,2.85256,147,-5.837718,4.978519917,8.87926,12.60121,0.055,0.6879899,24.88700562,1.30142,130.80671,37.987013,13.7801481,20.07158339,84.56586,7.078465974,0.57,4.2
Italy,0.873022984,35.52,3.957,100,0.632018178,6.702557614,22.58301665,3.17,107.1577369,161.8384413,2.01,5,100,16.04201,54.83345,1.9,0.6106765,31.63459577,83.7224112,24.76666667,0.067627166,-0.692237042,19.44624264,2044.263295,34167.23968,17.8274314,33030.22947,124.1868106,0.9,3,47700,1.56901,61.96,31.9,83.1,7.6,4,10.10184065,154.25,0.118984576,3,40.92,152.623429,2.240151714,75.68227,98.57836,99.00793,0.66545,106,-0.2254688,4.294929981,9.090887,10.32595,0.068,0.347573,13.94140111,1.26572,99.18506,30.0736067,9.380932964,32.75692457,62.46929,22.37408508,0.43,3.6
Czech Republic,0.870090821,26.39,4.906,100,0.140678042,10.43108813,1.269616625,4.39,106.8101029,66.97420135,2.27,10.7,100,16.39,148.6454,3.9,2.397992,34.45552247,76.85396676,12.92,0.09142376,2.277289822,19.6263576,294.171297,27959.14952,24.9385991,26660.2795,0,1,2.9,9004,6.46124,79.71,58,78.6,21.5,5,12.32,130.03,0.231254816,3.8,36.24,12572.05388,4.17447788,99.80429,102.953,100.35841,0.74861,154,-3.055583,4.507180214,7.243968,18.97433,1.349,1.087191,26.50510932,1.88148,96.55205,18.86121,4.043805211,14.49787125,64.17338,13.44907879,0.35,3.6
Greece,0.865187181,34.74,11.859,100,3.316240538,7.556057769,20.13943619,-4.03,103.9151459,134.2943904,2.55,11.2,100,17.628,63.4199,1.3,1.215958,30.74786656,90.57958761,13.79,0.146384924,-6.464842035,19.99144915,270.7278879,24539.50679,11.2103838,24524.14614,36.59245309,1.7,3.7,17900,-0.77264,63.21,30.46666667,80.9,6.3,5,10.26,114.96,0.078849525,0.9,43.8,827.4671245,1.105954561,63.15,76.34223,102.04813,5.58273,111,1.659568,4.091110229,9.821956,9.19747,0.094,0.332226,8.830121422,0.69038,108.54607,21,8.880714307,19.02469903,116.62157,22.40994006,0.69,4.4
Estonia,0.860835015,32.69,16.779,100,0.414732113,14.04988252,5.071770338,33.31,112.1508859,71.60010246,2.76,7.4,100,16.48454,171.3029,3.8,3.876924,51.80467091,88.1469609,14.02,0.163770231,2.839407379,19.10821397,33.29018418,25132.02672,27.3122612,25214,0,5,2.7,2868,-3.54288,84.24,31.33333333,76.8,24.9,11,12.48,160.69,1.107561886,0,32.61,7.678860236,4.952708207,100,92.78288,98.10785,3.02146,238,0.3438215,5.156990051,5.723605,11.54548,0.352,1.724318,14.59279722,2.18191,107.06224,19.8019802,16.31259172,8.943229634,76.6841,16.25075411,2.8,3.4
Brunei,0.855615865,29.00333333,22.99,100,-3.083944113,23.96785089,-8.86198547,5.13,102.8821973,20.79500024,2.95,4.7,76.2,14.52792,108.6414,5.2,5.555164,71.42314991,99.99556393,12.31333333,0.064252439,1.053423627,18.31458946,29.02520039,69474.17897,15.3122628,72570.12794,0,2,8.4,225,-38.33973,68.77,39.46666667,78.8,7.7,27,8.77,110.06,29.78595734,0.8,14.98,0,3.783812986,65.87,64.24171,94.40606,3.63081,122,-1.018906,3.765949965,2.524611,10.15195,0.001,1.0602678,0.004488255,1.063446666,105.90981,23.17225507,49.34918522,20.81095385,24.33869,13.99083042,3,9.9
Cyprus,0.849745435,28.53333333,5.473,100,2.897486249,6.736166081,7.579143356,7.47,105.3347412,335.815605,2,12.7,100,13.96636,86.6722,1.5,2.770419,18.75649351,94.89409483,17.63,0.123879164,0.468085106,19.70226167,23.77287188,27393.93981,18.4196965,28632.73467,0,2,2.8,2405,-61.04746,69.33,41.16666667,80.2,7.7,10,11.61928463,96.34,0.003757694,6.2,22.86,0,11.39887176,78.7048,77.92455,100.17535,4.73259,106,-71.88432,7.242579937,7.365529,13.77462,0.01,0.3782846,5.105820709,0.46726,95.29985,12.5,18.16676978,26.49547962,45.86359,25.49124728,0.2,3.6
Qatar,0.849768365,29.95,9.522,100,-1.458735669,43.89303638,2.963996994,16.99,107.0699038,73.85454208,1.75,6.3,97.7,13.78672,97.45603,1.2,-0.4135036,0,100,374.1,0.524097864,10.06913631,12.86845544,276.6406968,127562.199,21.40182893,123124.3596,0,1.1,7,2611,16.60128,91.49,38.3,78.2,5.7,6,9.070602417,145.76,17.36488881,48.8,77.39,6.423278777,0.075308091,60.46305,57.83359,102.5434,2.26042,60,11.40157,2.448339939,2.187261,9.92245,0.017,0.2826261,0,1.063446666,111.6167,0,73.82187172,40.24133283,14.25746,14.65495096,0.17,8.2
Andorra,0.844641908,29.00333333,23.67466667,100,0.007011878,6.310640211,2.94E-09,0.71,106.4587666,118.052357,1.58,6.3,100,13.52401627,108.0529733,6.466666667,-1.162423733,34.04255319,48.29271242,12.31333333,0.064252439,1.370024411,25.18935595,361.8304018,41064.7142,21.86767307,43977.79472,0,1.3,2.2,2335,-182.34201,95.9,39.46666667,81.294,19.8,4.666666667,9.58190918,82.64,0.145505915,2.9,36.97,5.476724528,3.608516567,49.40111,94.64977667,101.6775433,6.118623333,38,-4.185964833,3.088160038,8.073646,9.33028,0.005,0.252640533,40.88819695,3.113356667,113.8620933,50,56.91383271,29.96263452,83.36052667,20.68117263,0.91,3
Slovakia,0.843572119,26.58,15.872,100,0.414732113,6.367545917,0.618234413,15.39,109.1745662,53.06674171,2.6,9.2,100,15.06322,181.3689,2.5,2.198677,40.20545666,67.51150673,1.37,0.163628552,2.418403115,18.05663967,142.1922509,26263.34612,20.4440043,25845.28246,0,1.4,6,6235,-10.93904,79.98,27.9,76.3,18.5,7,12.22690128,116.94,0.468660879,0.6,30,19.14893048,9.126450539,99.30794,90.83719,101.64812,2.04721,187,-10.80162,4.057260036,8.213588,14.94005,0.23,2.120361,32.31149531,0.82315,93.88312,18.6666667,2.745483992,10.29738593,55.10905,12.17147055,0.63,7.2
Poland,0.842677828,32.78,12.156,100,-0.359477765,8.335786706,5.77577871,33.36,109.0833333,65.76876054,2.65,7,100,15.46559,90.32973,3.8,-0.8720853,30.67010646,90.68365019,19.4,0.137784128,2.05200125,18.14383665,881.4760216,22877.22387,18.8208311,23176.79665,0,1.2,4.5,15800,0.24838,66.6,35,77.4,30.5,3,11.82433128,156.45,0.954256684,-0.2,21.99,278.6601996,13.18289451,82.29742,78.18092,101.22642,1.46771,217,-0.0328981,4.942180157,6.663034,10.18568,1.421,1.328095,9.552269556,0.89972,97.65884,22.1428571,1.736822198,13.40819598,73.19394,15.98390736,1.8,5.2
Lithuania,0.839421883,32.63,10.612,100,0.414732113,4.537558514,11.8667495,-8.07,108.5,51.04501961,3.5,5.5,100,16.38875,155.7439,8.4,1.551068,34.71295912,74.04694221,9.53,0.12468077,-2.954438321,18.74671402,72.3735333,24482.6018,17.4482241,24500.31387,0,6.7,4,2012,-4.9989,72.13,37.6,73.3,51,11,12.38313007,147.04,0.367048442,-1.9,41.16,0,4.831083643,91.41517,75.947,98.78064,2.50047,329,3.144038,5.172679901,6.237117,12.43042,0.22,4.484069,14.48771072,0.90166,105.93656,23.4042553,4.898385214,9.034585425,73.94864,13.37784917,3,4.9
